numero_camisa,posicion_juego,cedula_persona,nombre_equipo
8,Mediocampo,1100000018,Guerreros
34,Defensa,1100000037,UnionFC
39,Defensa,1100000047,Juventud
36,Mediocampo,1100000043,Estrellas
17,Arquero,1100000026,RealSur
14,Extremo,1100000010,Titanes
6,Defensa,1100000012,LeonesFC
13,Defensa,1100000022,Dinamicos
1,Mediocampo,1100000023,Dinamicos
26,Arquero,1100000036,UnionFC
40,Arquero,1100000021,Dinamicos
37,Delantero,1100000039,UnionFC
47,Delantero,1100000049,Juventud
43,Extremo,1100000045,Estrellas
45,Defensa,1100000042,Estrellas
21,Extremo,1100000030,RealSur
30,Arquero,1100000031,Atleticos
23,Defensa,1100000032,Atleticos
15,Mediocampo,1100000028,RealSur
27,Delantero,1100000009,Titanes
2,Extremo,1100000015,LeonesFC
31,Mediocampo,1100000013,LeonesFC
3,Arquero,1100000006,Titanes
33,Delantero,1100000029,RealSur
41,Mediocampo,1100000033,Atleticos
42,Mediocampo,1100000038,UnionFC
12,Arquero,1100000001,Halcones
11,Delantero,1100000014,LeonesFC
35,Arquero,1100000016,Guerreros
20,Delantero,1100000034,Atleticos
49,Extremo,1100000050,Juventud
5,Extremo,1100000020,Guerreros
9,Mediocampo,1100000008,Titanes
24,Delantero,1100000024,Dinamicos
46,Mediocampo,1100000048,Juventud
38,Arquero,1100000041,Estrellas
28,Defensa,1100000027,RealSur
44,Extremo,1100000040,UnionFC
7,Defensa,1100000002,Halcones
32,Extremo,1100000035,Atleticos
48,Delantero,1100000044,Estrellas
25,Extremo,1100000005,Halcones
19,Mediocampo,1100000003,Halcones
4,Delantero,1100000004,Halcones
50,Arquero,1100000046,Juventud
10,Extremo,1100000025,Dinamicos
29,Delantero,1100000019,Guerreros
16,Defensa,1100000017,Guerreros
22,Arquero,1100000011,LeonesFC
18,Defensa,1100000007,Titanes
