cedula_persona,nombre,apellido
1100000029,Pablo,Suarez
1100000047,Miguel,Pinto
1100000025,Ronald,Flores
1100000005,Mateo,Castro
1100000011,Jose,Mora
1100000014,Michael,Rojas
1100000032,Ivan,Vasquez
1100000040,Raul,Soto
1100000048,Henry,Alvarado
1100000043,Mauricio,Burneo
1100000012,Daniel,Herrera
1100000042,Kevin,Poma
1100000024,Victor,Maldonado
1100000003,Andres,Lopez
1100000017,Fernando,Jaramillo
1100000046,Oscar,Jimenez
1100000009,Bryan,Ortega
1100000031,Edgar,Celi
1100000007,Jhon,Torres
1100000044,Adrian,Paredes
1100000019,Leonardo,Paz
1100000033,Ricardo,Ochoa
1100000001,Carlos,Mendoza
1100000050,Nicolas,Sarmiento
1100000036,Julio,Narvaez
1100000002,Luis,Vega
1100000027,Santiago,Bravo
1100000010,Marco,Salinas
1100000015,Anthony,Luna
1100000004,Kevin,Sanchez
1100000018,Angel,Pineda
1100000006,Diego,Ramirez
1100000026,Erick,Quinde
1100000021,David,Cabrera
1100000041,Esteban,Guaman
1100000020,Alex,Benitez
1100000039,Cesar,Carpio
1100000016,Cristian,Valdez
1100000023,Gabriel,Cedeno
1100000035,Hector,Yaguana
1100000008,Pedro,Guerrero
1100000037,Patricio,Morocho
1100000038,Jonathan,Mina
1100000045,Franklin,Tocto
1100000028,Jean,Aguirre
1100000022,Byron,Reyes
1100000030,Wilson,Carrion
1100000034,Manuel,Romero
1100000049,Javier,Espinoza
1100000013,Steven,Cueva
